id,movie_id,genre_id,genre_name
0,19995,28,Action
1,19995,12,Adventure
2,19995,14,Fantasy
3,19995,878,Fantasy
4,285,12,Adventure
5,285,14,Fantasy
6,285,28,Action
7,206647,28,Action
8,206647,12,Adventure
9,206647,80,Crime
10,49026,28,Action
11,49026,80,Crime
12,49026,18,Drama
13,49026,53,Thriller
14,49529,28,Action
15,49529,12,Adventure
16,49529,878,ScienceFiction
17,559,14,Fantasy
18,559,28,Action
19,559,12,Adventure
20,38757,16,Animation
21,38757,10751,Family
22,99861,28,Action
23,99861,12,Adventure
24,99861,878,ScienceFiction
25,767,12,Adventure
26,767,14,Fantasy
27,767,10751,Family
28,209112,28,Action
29,209112,12,Adventure
30,209112,14,Fantasy
31,1452,12,Adventure
32,1452,14,Fantasy
33,1452,28,Action
34,1452,878,ScienceFiction
35,10764,12,Adventure
36,10764,28,Action
37,10764,53,Thriller
38,10764,80,Crime
39,58,12,Adventure
40,58,14,Fantasy
41,58,28,Action
42,57201,28,Action
43,57201,12,Adventure
44,57201,37,Western
45,49521,28,Action
46,49521,12,Adventure
47,49521,14,Fantasy
48,49521,878,ScienceFiction
49,2454,12,Adventure
50,2454,10751,Family
51,2454,14,Fantasy
52,24428,878,ScienceFiction
53,24428,28,Action
54,24428,12,Adventure
55,1865,12,Adventure
56,1865,28,Action
57,1865,14,Fantasy
58,41154,28,Action
59,41154,35,Comedy
60,41154,878,ScienceFiction
61,122917,28,Action
62,122917,12,Adventure
63,122917,14,Fantasy
64,1930,28,Action
65,1930,12,Adventure
66,1930,14,Fantasy
67,20662,28,Action
68,20662,12,Adventure
69,57158,12,Adventure
70,57158,14,Fantasy
71,2268,12,Adventure
72,2268,14,Fantasy
73,254,12,Adventure
74,254,18,Drama
75,254,28,Action
76,597,18,Drama
77,597,10749,Romance
78,597,53,Thriller
79,271110,12,Adventure
80,271110,28,Action
81,271110,878,ScienceFiction
82,44833,53,Thriller
83,44833,28,Action
84,44833,12,Adventure
85,44833,878,ScienceFiction
86,135397,28,Action
87,135397,12,Adventure
88,135397,878,ScienceFiction
89,135397,53,Thriller
90,37724,28,Action
91,37724,12,Adventure
92,37724,53,Thriller
93,558,28,Action
94,558,12,Adventure
95,558,14,Fantasy
96,68721,28,Action
97,68721,12,Adventure
98,68721,878,ScienceFiction
99,12155,10751,Family
100,12155,14,Fantasy
101,12155,12,Adventure
102,36668,12,Adventure
103,36668,28,Action
104,36668,878,ScienceFiction
105,36668,53,Thriller
106,62211,16,Animation
107,62211,10751,Family
108,8373,878,ScienceFiction
109,8373,28,Action
110,8373,12,Adventure
111,91314,878,ScienceFiction
112,91314,28,Action
113,91314,12,Adventure
114,68728,14,Fantasy
115,68728,12,Adventure
116,68728,10751,Family
117,102382,28,Action
118,102382,12,Adventure
119,102382,14,Fantasy
120,20526,12,Adventure
121,20526,28,Action
122,20526,878,ScienceFiction
123,49013,16,Animation
124,49013,10751,Family
125,49013,12,Adventure
126,49013,35,Comedy
127,44912,12,Adventure
128,44912,28,Action
129,44912,53,Thriller
130,44912,878,ScienceFiction
131,10193,16,Animation
132,10193,10751,Family
133,10193,35,Comedy
134,534,28,Action
135,534,878,ScienceFiction
136,534,53,Thriller
137,168259,28,Action
138,72190,28,Action
139,72190,18,Drama
140,72190,27,Horror
141,72190,878,ScienceFiction
142,72190,53,Thriller
143,127585,28,Action
144,127585,12,Adventure
145,127585,14,Fantasy
146,127585,878,ScienceFiction
147,54138,28,Action
148,54138,12,Adventure
149,54138,878,ScienceFiction
150,81005,28,Action
151,81005,10751,Family
152,81005,14,Fantasy
153,64682,18,Drama
154,64682,10749,Romance
155,9543,12,Adventure
156,9543,14,Fantasy
157,9543,28,Action
158,9543,10749,Romance
159,68726,28,Action
160,68726,878,ScienceFiction
161,68726,12,Adventure
162,38356,28,Action
163,38356,878,ScienceFiction
164,38356,12,Adventure
165,217,12,Adventure
166,217,28,Action
167,105864,12,Adventure
168,105864,16,Animation
169,105864,10751,Family
170,62177,16,Animation
171,62177,12,Adventure
172,62177,35,Comedy
173,62177,10751,Family
174,62177,28,Action
175,62177,14,Fantasy
176,188927,28,Action
177,188927,12,Adventure
178,188927,878,ScienceFiction
179,10681,16,Animation
180,10681,10751,Family
181,5174,28,Action
182,5174,35,Comedy
183,5174,80,Crime
184,5174,53,Thriller
185,14161,28,Action
186,14161,12,Adventure
187,14161,878,ScienceFiction
188,17979,16,Animation
189,17979,18,Drama
190,76757,878,ScienceFiction
191,76757,14,Fantasy
192,76757,28,Action
193,76757,12,Adventure
194,258489,28,Action
195,258489,12,Adventure
196,411,12,Adventure
197,411,10751,Family
198,411,14,Fantasy
199,246655,878,ScienceFiction
200,155,18,Drama
201,155,28,Action
202,155,80,Crime
203,155,53,Thriller
204,14160,16,Animation
205,14160,35,Comedy
206,14160,10751,Family
207,14160,12,Adventure
208,15512,16,Animation
209,15512,10751,Family
210,15512,12,Adventure
211,15512,878,ScienceFiction
212,1726,28,Action
213,1726,878,ScienceFiction
214,1726,12,Adventure
215,44826,12,Adventure
216,44826,18,Drama
217,44826,10751,Family
218,8487,28,Action
219,8487,12,Adventure
220,8487,35,Comedy
221,8487,878,ScienceFiction
222,8487,37,Western
223,1735,12,Adventure
224,1735,28,Action
225,1735,14,Fantasy
226,297761,28,Action
227,297761,12,Adventure
228,297761,80,Crime
229,297761,14,Fantasy
230,297761,878,ScienceFiction
231,2698,14,Fantasy
232,2698,35,Comedy
233,2698,10751,Family
234,137113,28,Action
235,137113,878,ScienceFiction
236,9804,12,Adventure
237,9804,28,Action
238,14869,12,Adventure
239,14869,28,Action
240,14869,53,Thriller
241,14869,878,ScienceFiction
242,150540,18,Drama
243,150540,35,Comedy
244,150540,16,Animation
245,150540,10751,Family
246,278927,10751,Family
247,278927,12,Adventure
248,278927,18,Drama
249,278927,14,Fantasy
250,10138,12,Adventure
251,10138,28,Action
252,10138,878,ScienceFiction
253,58595,12,Adventure
254,58595,14,Fantasy
255,58595,18,Drama
256,102651,14,Fantasy
257,102651,12,Adventure
258,102651,28,Action
259,102651,10751,Family
260,102651,10749,Romance
261,119450,878,ScienceFiction
262,119450,28,Action
263,119450,18,Drama
264,119450,53,Thriller
265,79698,28,Action
266,79698,12,Adventure
267,79698,878,ScienceFiction
268,79698,10749,Romance
269,64686,18,Drama
270,64686,28,Action
271,64686,12,Adventure
272,64686,14,Fantasy
273,100402,28,Action
274,100402,12,Adventure
275,100402,878,ScienceFiction
276,10192,35,Comedy
277,10192,12,Adventure
278,10192,14,Fantasy
279,10192,16,Animation
280,10192,10751,Family
281,158852,12,Adventure
282,158852,10751,Family
283,158852,9648,Mystery
284,158852,878,ScienceFiction
285,177572,12,Adventure
286,177572,10751,Family
287,177572,16,Animation
288,177572,28,Action
289,177572,35,Comedy
290,82690,10751,Family
291,82690,16,Animation
292,82690,35,Comedy
293,82690,12,Adventure
294,5255,12,Adventure
295,5255,16,Animation
296,5255,10751,Family
297,5255,14,Fantasy
298,47933,28,Action
299,47933,12,Adventure
300,47933,878,ScienceFiction
301,10191,14,Fantasy
302,10191,12,Adventure
303,10191,16,Animation
304,10191,10751,Family
305,296,28,Action
306,296,53,Thriller
307,296,878,ScienceFiction
308,118340,28,Action
309,118340,878,ScienceFiction
310,118340,12,Adventure
311,157336,12,Adventure
312,157336,18,Drama
313,157336,878,ScienceFiction
314,27205,28,Action
315,27205,53,Thriller
316,27205,878,ScienceFiction
317,27205,9648,Mystery
318,27205,12,Adventure
319,315011,28,Action
320,315011,12,Adventure
321,315011,18,Drama
322,315011,27,Horror
323,315011,878,ScienceFiction
324,49051,12,Adventure
325,49051,14,Fantasy
326,49051,28,Action
327,9799,28,Action
328,9799,80,Crime
329,9799,53,Thriller
330,4922,14,Fantasy
331,4922,18,Drama
332,4922,53,Thriller
333,4922,9648,Mystery
334,4922,10749,Romance
335,49538,28,Action
336,49538,878,ScienceFiction
337,49538,12,Adventure
338,131634,28,Action
339,131634,12,Adventure
340,131634,878,ScienceFiction
341,27022,14,Fantasy
342,27022,12,Adventure
343,27022,28,Action
344,27022,35,Comedy
345,27022,18,Drama
346,503,12,Adventure
347,503,28,Action
348,503,18,Drama
349,503,53,Thriller
350,241259,14,Fantasy
351,810,14,Fantasy
352,810,12,Adventure
353,810,16,Animation
354,810,35,Comedy
355,810,10751,Family
356,68735,28,Action
357,68735,12,Adventure
358,68735,14,Fantasy
359,87101,878,ScienceFiction
360,87101,28,Action
361,87101,53,Thriller
362,87101,12,Adventure
363,10140,12,Adventure
364,10140,10751,Family
365,10140,14,Fantasy
366,676,36,History
367,676,10749,Romance
368,676,10752,War
369,1858,12,Adventure
370,1858,878,ScienceFiction
371,1858,28,Action
372,1966,10752,War
373,1966,36,History
374,1966,28,Action
375,1966,12,Adventure
376,1966,18,Drama
377,1966,10749,Romance
378,675,12,Adventure
379,675,14,Fantasy
380,675,10751,Family
381,675,9648,Mystery
382,674,12,Adventure
383,674,14,Fantasy
384,674,10751,Family
385,8960,14,Fantasy
386,8960,28,Action
387,6479,18,Drama
388,6479,27,Horror
389,6479,28,Action
390,6479,53,Thriller
391,6479,878,ScienceFiction
392,118,12,Adventure
393,118,35,Comedy
394,118,10751,Family
395,118,14,Fantasy
396,2062,16,Animation
397,2062,35,Comedy
398,2062,10751,Family
399,2062,14,Fantasy
400,272,28,Action
401,272,80,Crime
402,272,18,Drama
403,10527,10751,Family
404,10527,16,Animation
405,18360,12,Adventure
406,18360,14,Fantasy
407,18360,28,Action
408,18360,35,Comedy
409,18360,10751,Family
410,2080,12,Adventure
411,2080,28,Action
412,2080,53,Thriller
413,2080,878,ScienceFiction
414,605,12,Adventure
415,605,28,Action
416,605,53,Thriller
417,605,878,ScienceFiction
418,109445,16,Animation
419,109445,12,Adventure
420,109445,10751,Family
421,604,12,Adventure
422,604,28,Action
423,604,53,Thriller
424,604,878,ScienceFiction
425,76338,28,Action
426,76338,12,Adventure
427,76338,14,Fantasy
428,76341,28,Action
429,76341,12,Adventure
430,76341,878,ScienceFiction
431,76341,53,Thriller
432,13448,53,Thriller
433,13448,9648,Mystery
434,10195,12,Adventure
435,10195,14,Fantasy
436,10195,28,Action
437,13053,16,Animation
438,13053,10751,Family
439,13053,12,Adventure
440,13053,35,Comedy
441,19585,14,Fantasy
442,19585,28,Action
443,19585,12,Adventure
444,19585,10751,Family
445,19585,35,Comedy
446,57165,12,Adventure
447,62213,35,Comedy
448,62213,14,Fantasy
449,177677,28,Action
450,177677,12,Adventure
451,177677,53,Thriller
452,7978,18,Drama
453,7978,27,Horror
454,7978,53,Thriller
455,5559,10751,Family
456,5559,16,Animation
457,5559,12,Adventure
458,5559,35,Comedy
459,49444,16,Animation
460,49444,10751,Family
461,10196,28,Action
462,10196,12,Adventure
